 num     #instances         #bytes  class name (module)
 323:            72           4608  java.lang.module.ModuleDescriptor (java.base)
 324:           142           4544  java.util.AbstractList$Itr (java.base)
 325:           282           4512  org.spec.jbb.core.comm.transport.encapsulation.JavaSerializationEncapsulationLayer
 326:           280           4480  javax.crypto.spec.IvParameterSpec (java.base)
 327:           280           4480  org.spec.jbb.core.comm.transport.compression.GZipCompressionLayer
 328:           280           4480  org.spec.jbb.core.comm.transport.encapsulation.PooledJAXBEncapsulationLayer$1
 329:           280           4480  org.spec.jbb.core.comm.transport.encapsulation.PooledJAXBEncapsulationLayer$2
 330:           280           4480  org.spec.jbb.core.comm.transport.encryption.PooledJavaSecurityEncryptionLayer$1
 331:           276           4416  [Ljava.security.Principal; (java.base)
 332:           276           4416  java.security.ProtectionDomain$Key (java.base)
 333:             4           4224  [Ljava.lang.Thread; (java.base)
 334:           256           4096  java.lang.Byte (java.base)
 335:           256           4096  java.lang.Short (java.base)
 336:           170           4080  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base)
 337:           126           4032  com.sun.xml.bind.v2.runtime.unmarshaller.LeafPropertyXsiLoader
 338:           126           4032  java.lang.invoke.MethodTypeForm (java.base)
 339:           125           4000  java.lang.invoke.DirectMethodHandle (java.base)
 340:           249           3984  org.spec.jbb.sm.tx.request.InstallmentPurchaseRequest
 341:            70           3920  jdk.internal.module.ModuleReferenceImpl (java.base)
 342:           119           3808  java.util.concurrent.ConcurrentHashMap$ForwardingNode (java.base)
 343:           157           3768  java.util.concurrent.CopyOnWriteArrayList (java.base)
 344:           149           3576  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base)
 345:            88           3520  java.util.logging.Logger$ConfigurationData (java.logging)
 346:           214           3424  jdk.internal.reflect.BootstrapConstructorAccessorImpl (java.base)
 347:            34           3408  [Ljava.lang.invoke.MethodHandle; (java.base)
 348:           142           3408  org.spec.jbb.hq.tx.request.CustomerRefundMessage
 349:            71           3408  org.spec.jbb.sm.tx.ProductReturnTransaction
 350:           140           3360  java.util.ImmutableCollections$SetN (java.base)
 351:            26           3328  org.glassfish.grizzly.nio.transport.TCPNIOConnection
 352:           134           3216  org.spec.jbb.hq.db.DataMiningCursor
 353:           100           3200  sun.nio.fs.UnixPath (java.base)
 354:           130           3120  org.glassfish.grizzly.ThreadCache$ObjectCacheElement
 355:            77           3080  java.util.EnumMap (java.base)
 356:           126           3024  com.sun.xml.bind.v2.runtime.unmarshaller.LeafPropertyLoader
 357:            74           2960  org.glassfish.grizzly.filterchain.InternalContextImpl
 358:            23           2944  sun.nio.fs.UnixFileAttributes (java.base)
 359:           122           2928  com.sun.xml.bind.v2.runtime.reflect.TransducedAccessor$CompositeTransducedAccessorImpl
 360:            26           2912  sun.nio.ch.SocketChannelImpl (java.base)
 361:            90           2880  org.glassfish.grizzly.utils.ArraySet
 362:           149           2848  [Lsun.reflect.generics.tree.TypeArgument; (java.base)
 363:            57           2736  java.util.TimSort (java.base)
 364:            56           2688  com.sun.xml.bind.v2.runtime.LeafBeanInfoImpl
 365:             3           2624  [[B (java.base)
 366:            24           2496  java.util.jar.JarFile$JarFileEntry (java.base)
 367:           155           2480  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base)
 368:           103           2472  [[C (java.base)
 369:            60           2400  org.glassfish.grizzly.asyncqueue.TaskQueue
 370:            75           2400  org.glassfish.grizzly.filterchain.InvokeAction
 371:           149           2384  jdk.proxy2.$Proxy10 (jdk.proxy2)
 372:           149           2384  sun.reflect.generics.tree.ClassTypeSignature (java.base)
 373:            74           2368  java.util.Collections$UnmodifiableMap (java.base)
 374:            74           2368  org.glassfish.grizzly.filterchain.FilterChainContext$TransportContext
 375:             5           2360  [Lorg.glassfish.grizzly.nio.SelectorRunner;
 376:            58           2320  java.io.FileDescriptor (java.base)
 377:            36           2304  java.nio.DirectByteBuffer (java.base)
 378:            12           2280  [Z (java.base)
 379:            71           2272  org.spec.jbb.hq.tx.AdjustSupermarketInventoryTransaction
 380:            71           2272  org.spec.jbb.hq.tx.CustomerRefundTransaction
 381:            56           2240  java.lang.invoke.VarHandle$AccessDescriptor (java.base)
 382:            53           2120  sun.security.util.NamedCurve (java.base)
 383:            66           2112  java.lang.invoke.BoundMethodHandle$Species_L (java.base)
 384:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base)
 385:            26           2080  org.glassfish.grizzly.threadpool.ThreadPoolConfig
 386:            86           2064  com.sun.xml.bind.v2.runtime.unmarshaller.XsiTypeLoader
